,代码,名称,涨跌幅,最新价,涨跌额,市盈率-动态,总市值,流通市值,年初至今涨跌幅
2,300310,宜通世纪,20.1,5.02,0.84,436.26,4425925826.0,3472537039.0,13.57
5,300139,晓程科技,18.13,13.16,2.02,64.4,3605840000.0,3074856701.0,29.4
6,300107,建新股份,15.33,9.63,1.28,376.52,5352051310.0,3281739645.0,80.68
10,751,锌业股份,10.15,3.69,0.34,92.05,5961676896.0,5202417640.0,13.54
12,600744,华银电力,10.1,3.38,0.31,259.67,6865200046.0,6865200046.0,4.32
14,600611,大众交通,10.07,3.06,0.28,22.32,7234215964.0,4783748074.0,2.68
24,600094,大名城,10.03,3.73,0.34,10.73,9232962463.0,8491736508.0,24.33
26,603988,中电电机,10.03,12.51,1.14,68.1,2942352000.0,2942352000.0,10.03
27,911,广农糖业,10.03,8.67,0.79,126.0,3470772822.0,2809781724.0,6.38
33,603615,茶花股份,10.02,20.54,1.87,1058.04,4966982800.0,4966982800.0,11.87
29,993,闽东电力,10.02,10.87,0.99,21.23,4977932316.0,4780056108.0,6.57
36,25,特  力Ａ,10.01,17.25,1.57,62.88,7435756020.0,6775426020.0,8.42
43,605198,安德利,10.0,44.21,4.02,60.38,15429290000.0,11960396560.0,89.74
45,2780,三夫户外,10.0,13.75,1.25,135.05,2166827933.0,1796475093.0,9.91
47,2715,登云股份,10.0,16.94,1.54,98.3,2337720000.0,2337720000.0,4.37
54,603032,德新科技,10.0,25.42,2.31,28.48,5961381468.0,5809313944.0,25.22
57,2246,北化股份,9.99,9.14,0.83,330.16,5018178017.0,5018178017.0,11.6
59,506,中润资源,9.98,5.51,0.5,51.87,5118887863.0,5116976995.0,33.41
60,2703,浙江世宝,9.98,14.0,1.27,143.19,11055024918.0,7742844578.0,4.79
71,300473,德尔股份,8.46,18.33,1.43,188.85,2757896386.0,2739142725.0,0.27
73,603,盛达资源,8.23,15.65,1.19,60.47,10798020265.0,9898466293.0,41.63
77,528,柳    工,7.88,9.45,0.69,21.25,18438985653.0,13359754520.0,40.21
79,2237,恒邦股份,7.72,13.11,0.94,29.18,15050708448.0,11935583664.0,21.61
82,1337,四川黄金,7.46,32.28,2.24,64.28,13557600000.0,9311359680.0,16.83
83,600101,明星电力,7.45,8.51,0.59,20.0,3586392022.0,3586392022.0,1.19
85,601985,中国核电,7.18,9.55,0.64,14.5,180335370480.0,180335370480.0,27.33
91,600547,山东黄金,6.86,31.78,2.04,61.07,142165590305.0,114867009568.0,38.96
92,600894,广日股份,6.85,9.83,0.63,11.1,8453277978.0,8453277978.0,33.74
94,601028,玉龙股份,6.46,13.01,0.79,20.94,10187165138.0,10187165138.0,21.48
95,603499,翔港科技,6.43,24.48,1.48,461.24,5152229810.0,5152229810.0,127.51
110,601086,国芳集团,5.81,5.28,0.29,20.52,3516480000.0,3516480000.0,0.38
113,2039,黔源电力,5.69,16.71,0.9,26.98,7144496285.0,7144496285.0,21.17
115,603286,日盈电子,5.57,25.97,1.37,364.94,2968473088.0,2287333720.0,0.39
117,2155,湖南黄金,5.53,15.08,0.79,37.06,18126755268.0,18124852066.0,35.37
121,2194,武汉凡谷,5.43,10.88,0.56,88.34,7434149569.0,5538741560.0,10.34
124,300308,中际旭创,5.42,164.56,8.46,60.57,132113085725.0,123453794042.0,45.74
125,603798,康普顿,5.39,11.73,0.6,46.89,3008154395.0,3008154395.0,21.3
129,300073,当升科技,5.23,44.3,2.2,11.66,22437984288.0,22387615676.0,15.97
131,2920,德赛西威,5.1,134.48,6.53,48.25,74637220328.0,74167421844.0,3.84
133,2028,思源电气,5.1,62.03,3.01,31.05,47964916590.0,37281458923.0,19.2
136,688190,云路股份,5.08,83.01,4.01,30.0,9961200000.0,5048336160.0,15.89
140,300350,华鹏飞,5.02,5.65,0.27,19.48,3177864416.0,2664344606.0,10.14
145,600021,上海电力,4.89,9.22,0.43,16.31,25970376407.0,24130253896.0,8.98
147,300871,回盛生物,4.82,15.43,0.71,129.04,2559639959.0,2557741143.0,6.71
149,300164,通源石油,4.74,4.86,0.22,23.74,2871815937.0,2621809119.0,1.89
150,300290,荣科科技,4.7,10.47,0.47,615.24,6697999997.0,6692699560.0,71.92
152,600988,赤峰黄金,4.68,19.0,0.85,39.32,31614316182.0,31614316182.0,35.62
159,2869,金溢科技,4.61,21.57,0.95,109.69,3873030275.0,3411470843.0,6.57
167,426,兴业银锡,4.43,12.72,0.54,32.28,23369085026.0,18798631845.0,40.09
168,600795,国电电力,4.42,5.2,0.22,12.37,92745219226.0,92745219226.0,25.0
171,2792,通宇通讯,4.32,17.37,0.72,92.07,6983729499.0,4167797612.0,3.64
176,603600,永艺股份,4.15,12.81,0.51,15.15,4264548611.0,3875186918.0,16.03
177,600011,华能国际,4.13,9.83,0.39,18.27,154312257719.0,108107488504.0,27.66
178,600,建投能源,4.12,7.33,0.29,43.89,13262164426.0,7990028941.0,46.31
180,300394,天孚通信,4.08,159.86,6.26,86.49,63126600171.0,57791760724.0,74.67
183,601567,三星医疗,4.06,30.52,1.19,21.69,43069737659.0,42572752482.0,48.88
184,605599,菜百股份,4.03,16.26,0.63,16.04,12646667028.0,9539381028.0,9.2
186,603218,日月股份,3.97,13.61,0.52,29.82,14030889250.0,13168941941.0,10.02
197,722,湖南发展,3.81,9.81,0.36,92.05,4553392746.0,4553392746.0,2.08
198,600531,豫光金铅,3.8,7.37,0.27,12.36,8035088213.0,8035088213.0,21.82
202,600900,长江电力,3.76,25.36,0.92,22.66,620514001278.0,608824024916.0,8.65
206,600916,中国黄金,3.74,11.66,0.42,19.83,19588800000.0,19588800000.0,18.14
211,688676,金盘科技,3.68,42.31,1.5,35.97,18151751115.0,18151751115.0,18.09
220,899,赣能股份,3.48,8.32,0.28,14.93,8117638963.0,8117638963.0,7.49
223,833,粤桂股份,3.42,6.35,0.21,63.99,4244351754.0,2400834746.0,2.58
226,600803,新奥股份,3.36,19.4,0.63,8.48,60108913576.0,55021137049.0,15.34
229,603690,至纯科技,3.31,27.5,0.88,40.71,10642262675.0,10603124675.0,7.0
234,2552,宝鼎科技,3.21,14.49,0.45,65.82,6201143907.0,4573079964.0,1.4
241,600674,川投能源,3.13,16.79,0.51,18.59,81844648642.0,81844648642.0,11.04
242,603239,浙江仙通,3.09,16.0,0.48,33.5,4331520000.0,4331520000.0,4.78
244,600593,大连圣亚,3.07,27.85,0.83,24.44,3587080000.0,3587080000.0,41.66
246,601998,中信银行,3.04,6.43,0.19,5.11,342672519819.0,246980211877.0,21.55
247,600418,江淮汽车,3.03,16.68,0.49,148.54,36429283314.0,36429283314.0,3.28
249,3816,中国广核,3.01,4.11,0.12,19.35,207549291621.0,161666792871.0,32.15
257,300908,仲景食品,2.9,42.97,1.21,24.94,4297000000.0,3637191224.0,4.12
258,600027,华电国际,2.89,7.11,0.2,16.08,72717959656.0,60508428760.0,38.33
263,400,许继电气,2.84,24.99,0.69,24.74,25465042632.0,25197968254.0,13.8
264,657,中钨高新,2.83,11.98,0.33,39.8,16740589806.0,14854328419.0,41.27
266,688516,奥特维,2.82,109.5,3.0,19.54,24538091301.0,22645906664.0,20.99
